1, Vanwall, 48, 1958
2, Ferrari, 40, 1958
3, Cooper Climax, 31, 1958
4, BRM, 18, 1958
5, Maserati, 6, 1958
6, Lotus Climax, 3, 1958
1, Cooper Climax, 40, 1959
2, Ferrari, 32, 1959
3, BRM, 18, 1959
4, Lotus Climax, 5, 1959
1, Cooper Climax, 48, 1960
2, Lotus Climax, 34, 1960
3, Ferrari, 26, 1960
4, BRM, 8, 1960
5, Cooper Maserati, 3, 1960
6, Cooper Castellotti, 3, 1960
1, Ferrari, 40, 1961
2, Lotus Climax, 32, 1961
3, Porsche, 22, 1961
4, Cooper Climax, 14, 1961
5, BRM Climax, 7, 1961
1, BRM, 42, 1962
2, Lotus Climax, 36, 1962
3, Cooper Climax, 29, 1962
4, Lola Climax, 19, 1962
5, Porsche, 18, 1962
6, Ferrari, 18, 1962
7, Brabham Climax, 6, 1962
8, Lotus BRM, 1, 1962
1, Lotus Climax, 54, 1963
2, BRM, 36, 1963
3, Brabham Climax, 28, 1963
4, Ferrari, 26, 1963
5, Cooper Climax, 25, 1963
6, BRP BRM, 6, 1963
7, Porsche, 5, 1963
8, Lotus BRM, 4, 1963
1, Ferrari, 45, 1964
2, BRM, 42, 1964
3, Lotus Climax, 37, 1964
4, Brabham Climax, 30, 1964
5, Cooper Climax, 16, 1964
6, Brabham BRM, 7, 1964
7, BRP BRM, 5, 1964
8, Lotus BRM, 3, 1964
1, Lotus Climax, 54, 1965
2, BRM, 45, 1965
3, Brabham Climax, 27, 1965
4, Ferrari, 26, 1965
5, Cooper Climax, 14, 1965
6, Honda, 11, 1965
7, Brabham BRM, 5, 1965
8, Lotus BRM, 2, 1965
1, Brabham Repco, 42, 1966
2, Ferrari, 31, 1966
3, Cooper Maserati, 30, 1966
4, BRM, 22, 1966
5, Lotus BRM, 13, 1966
6, Lotus Climax, 8, 1966
7, Eagle Climax, 4, 1966
8, Honda, 3, 1966
9, McLaren Ford, 2, 1966
10, Brabham BRM, 1, 1966
11, McLaren Serenissima, 1, 1966
12, Brabham Climax, 1, 1966
1, Brabham Repco, 63, 1967
2, Lotus Ford, 44, 1967
3, Cooper Maserati, 28, 1967
4, Honda, 20, 1967
5, Ferrari, 20, 1967
6, BRM, 17, 1967
7, Eagle Weslake, 13, 1967
8, Cooper Climax, 6, 1967
9, Lotus BRM, 6, 1967
10, McLaren BRM, 3, 1967
11, Brabham Climax, 2, 1967
1, Lotus Ford, 62, 1968
2, McLaren Ford, 49, 1968
3, Matra Ford, 45, 1968
4, Ferrari, 32, 1968
5, BRM, 28, 1968
6, Honda, 14, 1968
7, Cooper BRM, 14, 1968
8, Brabham Repco, 10, 1968
9, Matra, 8, 1968
10, Mclaren BRM, 3, 1968
1, Matra Ford, 66, 1969
2, Brabham Ford, 49, 1969
3, Lotus Ford, 47, 1969
4, McLaren Ford, 38, 1969
5, Ferrari, 7, 1969
6, BRM, 7, 1969
1, Lotus Ford, 59, 1970
2, Ferrari, 52, 1970
3, March Ford, 48, 1970
4, Brabham Ford, 35, 1970
5, McLaren Ford, 35, 1970
6, BRM, 23, 1970
7, Matra, 23, 1970
8, Surtees Ford, 3, 1970
1, Tyrrell Ford, 73, 1971
2, BRM, 36, 1971
3, Ferrari, 33, 1971
4, March Ford, 33, 1971
5, Lotus Ford, 21, 1971
6, McLaren Ford, 10, 1971
7, Matra, 9, 1971
8, Surtees Ford, 8, 1971
9, Brabham Ford, 5, 1971
1, Lotus Ford, 61, 1972
2, Tyrrell Ford, 51, 1972
3, McLaren Ford, 47, 1972
4, Ferrari, 33, 1972
5, Surtees Ford, 18, 1972
6, March Ford, 15, 1972
7, BRM, 14, 1972
8, Matra, 12, 1972
9, Brabham Ford, 7, 1972
1, Lotus Ford, 92, 1973
2, Tyrrell Ford, 82, 1973
3, McLaren Ford, 58, 1973
4, Brabham Ford, 22, 1973
5, March Ford, 14, 1973
6, Ferrari, 12, 1973
7, BRM, 12, 1973
8, Shadow Ford, 9, 1973
9, Surtees Ford, 7, 1973
10, Iso Marlboro Ford, 2, 1973
11, Tecno, 1, 1973
1, McLaren Ford, 73, 1974
2, Ferrari, 65, 1974
3, Tyrrell Ford, 52, 1974
4, Lotus Ford, 42, 1974
5, Brabham Ford, 35, 1974
6, Hesketh Ford, 15, 1974
7, BRM, 10, 1974
8, Shadow Ford, 7, 1974
9, March Ford, 6, 1974
10, Iso Marlboro Ford, 4, 1974
11, Surtees Ford, 3, 1974
12, Lola Ford, 1, 1974
1, Ferrari, 72.5, 1975
2, Brabham Ford, 54, 1975
3, McLaren Ford, 53, 1975
4, Hesketh Ford, 33, 1975
5, Tyrrell Ford, 25, 1975
6, Shadow Ford, 9.5, 1975
7, Lotus Ford, 9, 1975
8, March Ford, 7.5, 1975
9, Frank Williams Racing Cars/Williams, 6, 1975
10, Parnelli Ford, 5, 1975
11, Hill Ford, 3, 1975
12, Penske Ford, 2, 1975
13, Ensign Ford, 1, 1975
1, Ferrari, 83, 1976
2, McLaren Ford, 74, 1976
3, Tyrrell Ford, 71, 1976
4, Lotus Ford, 29, 1976
